,Product_Category,Product_Name,Prodcut_Selling_Price,Prodcut_Mark_Price,Product_Rating,Product_link,Total_User,Product_subcategory1,Product_subcategory2,Product_Variety,Product_Availbility
19,makeup,"POPxo Makeup - Vacay Mini Nail Kit (Set of 5) | Long Lasting, Chip-Resistant, Glossy Mini Nail Polish Set (3ml x 5)",210,299,5 ratings,https://www.myglamm.com/product/popxo-makeup-vacay-mini-nail-kit.html,184,Nail Makeup,Nail Polish Sets,"['Vacay', ""Chillin'"", 'Bestie', ""Hustlin'"", ""Vibin'"", ""Queenin'"", 'Sleighin’']",ADD TO BAG
20,makeup,"MyGlamm POUT by Karan Johar - No Pout Pout (Mauve Nude Brown Shade)  Moisturising, Tinted Plumping Lipstick For A Juicy, Petal Glow Finish (3.5g)",759,799,5 ratings,https://www.myglamm.com/product/pout-by-karan-johar-no-pout-pout-mauve-nude-lipstick.html,73,Lip Makeup,Lipsticks,"['No Pout Pout', ""Wine n' Pout"", 'True Pout', ' Kissable Pout', 'Party Pout', 'Perfect Pout', 'Poutitude', 'Power Pout', 'Wake up Pout', 'Pout it Out']",ADD TO BAG
21,makeup,MyGlamm Set On You Makeup Setting Spray,249,299,5 ratings,https://www.myglamm.com/product/myglamm-set-on-you-makeup-setting-spray.html,44,Face Makeup,Loose Powders & Fixers,[],Notify
22,makeup,"MyGlamm SUPERFOODS Color Pop Lip Balm - Strawberry | Tinted Lip Balm With SPF 20, Shea Butter & Vitamin E for Smooth & Soft Lips (4.6g)",149,160,5 ratings,https://www.myglamm.com/product/superfoods-color-pop-lip-balm-strawberry.html,646,Lip Makeup,Lip Balm,"['Strawberry', 'Berry', 'Watermelon', 'Cacao & Vanilla', 'Cherry', 'Rose']",ADD TO BAG
23,makeup,"MyGlamm LIT Liquid Matte Lipstick - Swinger (Caramel Brown Shade) | Smudge-proof, Transfer-proof & 12Hr Stay Long Lasting Lipstick (3ml)",277,395,5 ratings,https://www.myglamm.com/product/lit-liquid-matte-lipstick-swinger.html,29,Lip Makeup,Brown Lipstick,"['Swinger', 'Snacc', 'Rbomb', 'Quick Strike', 'Submarining', 'Fetish', 'Draking', 'Booty Call', 'Matrimania', 'Cottagecore', 'Benched', 'Ping Me', 'Hype Bae', 'FBO', 'JOMO', 'Buss It', 'Fire', 'TBH', 'Smash']",ADD TO BAG
24,makeup,"MyGlamm Two Of Your Kind Nail Enamel - Party Parade (Berry Pink + Pink Silver Glitter Shade) | Long Lasting, Gel Finish Nail Polish Duo (5ml x 2)",249,295,5 ratings,https://www.myglamm.com/product/two-of-your-kind-high-party-parade-nail-enamel.html,23,Nail Makeup,Nail Polish Sets,"['Party Parde', 'Carnival Crush', 'Bring the Bling', 'Steal the Show', 'Wicked Wish', 'High on Drama']",ADD TO BAG
25,makeup,"MyGlamm POSE HD Blush Duo - Coral & Punch (Peachy & Mauve Pink Shade) | Long Lasting, Lightweight, Blendable Soft Focus Blush ",524,699,5 ratings,https://www.myglamm.com/product/pose-hd-blush-duo-coral-punch.html,146,Face Makeup,Blush,[],Notify
26,makeup,Manish Malhotra Concealer - Neutral Maple,509,599,5 ratings,https://www.myglamm.com/product/manish-malhotra-skin-awakening-concealer-neutral-maple.html,88,Face Makeup,Concealer,"['Neutral Maple', 'Warm Fawn', 'Neutral Teak', 'Warm Oat', 'Cool Pinenut', 'Warm Porcelain']",ADD TO BAG
27,makeup,MyGlamm K.Play Flavoured Lipgloss - Berry Blast,595,,4.9 ratings,https://www.myglamm.com/product/kplay-flavoured-lipgloss-berry-blast.html,475,Lip Makeup,Lip Gloss,"['Berry Blast', 'Melon Squeeze', 'Pink Guava Smash', 'Orange Spin', 'Apple Crunch', 'Cranberry Twist', 'Lychee Twirl', 'Mango Swirl', 'Raspberry Punch', 'Blueberry Rush', 'Passion Fruit Crush']",ADD TO BAG
28,makeup,"MyGlamm LIT Liquid Matte Lipstick + LIT Velvet Matte Liquid Lipstick Exclusive (Combo of 2) | Long Lasting, Smudge-Proof, Hydrating",487,750,5 ratings,https://www.myglamm.com/product/lit-liquid-matte-lipstick-lit-velvet-matte-liquid-lipstick-exclusive-combo.html,73,Lip Makeup,Liquid Lipstick,[],Notify
29,makeup,"MyGlamm LIT Nail Enamel - Bold Glamm - Bussin’ (Black Shade) | Chip Resistant, Long Lasting, High Shine Glossy Nail Polish (7ml)",150,,,https://www.myglamm.com/product/lit-nail-enamel-bussin.html,,Nail Makeup,Glossy Nail Enamel,"[""Bussin'"", 'XOXO', 'No Chill', 'Grounded', 'Whipped', 'Low Key', 'Morning After', 'FOMO', 'Miss Sassy', 'All G', 'Simp', 'Bad Romance', 'Crushin', 'The MVP', ""No Frontin'"", 'Go Loco']",Notify
30,makeup,LIT Creamy Matte Lipstick Pack of 2,654,"1,190",5 ratings,https://www.myglamm.com/product/lit-creamy-matte-lipstick-pack-of-2-may-surv.html,412,Lip Makeup,Matte Lipstick,[],Notify
31,makeup,"Manish Malhotra Glitter Eyeliner - Hazel Spell (Brown Shade) | Long Lasting, Shimmer, Metallic, Glitter, Waterproof Eyeliner Pencil (1.2g)",639,799,4.9 ratings,https://www.myglamm.com/product/manish-malhotra-glitter-eyeliner-hazel-spell.html,325,Eye Makeup,Eyeliner,"['Hazel Spell', 'Jade Forest', 'Rose Dust', 'Dazzle', 'Twilight Purple', 'Black Moon', 'Galaxy Blue']",ADD TO BAG
32,makeup,"MyGlamm LIT Satin Matte Lipstick - Lust Stories (Berry Shade) | Long Lasting, 3D Matte Finish Lipstick With Intense Colour Payoff",445,495,4.9 ratings,https://www.myglamm.com/product/lit-satin-matte-lipstick-lust-stories.html,1641,Lip Makeup,Matte Lipstick,"['Lust Stories', 'KUWTK', 'Kissing Booth', 'The Affair', 'Two Broke Girls', 'Desperate Housewives', 'The Good Wife', 'Modern Family', 'Pretty Little Liars', 'Crazy Ex Girlfriends', 'Wild Wild Country', 'Russian Doll', 'Gossip Girl', 'Queen Of The South', 'Game Of Thrones', 'The Sinner']",ADD TO BAG
33,makeup,"MyGlamm LIT Nail Enamel - Daily Glamm - Say no More (Onion Pink Shade) | Chip Resistant, Long Lasting, High Shine Glossy Nail Polish (7ml)",130,,5 ratings,https://www.myglamm.com/product/lit-nail-enamel-say-no-more.html,1,Nail Makeup,Nail Polish,"['Say no More', 'Main Character', 'Boi Bye', 'Go Cray', 'Oh Fudge', 'Bold Digger', 'Hey Gurl', 'Babe']",ADD TO BAG
34,makeup,"POPxo Makeup - Dreamin Mini Nail Kit (Set of 5) | Long Lasting, Chip-Resistant, Glitter Mini Nail Polish Set (15ml x 5)",175,249,5 ratings,https://www.myglamm.com/product/popxo-makeup-dreamin-mini-nail-kit.html,1835,Nails, ,"[""Dreamin'"", 'Thrivin']",ADD TO BAG
35,makeup,"MyGlamm LIT Nail Enamel Remover | Quick Drying, One Swipe Formula, Acetone-Free Nail Enamel Remover with Green Tea, Olive Oil & Vitamin E",89,,4.9 ratings,https://www.myglamm.com/product/lit-nail-enamel-remover-30ml.html,150,Nails, ,[],Notify
36,makeup,"MyGlamm LIT Liquid Matte Pack of 2 + LIT Velvet Matte Pack of 1 (Exclusive Combo of 3)| Smudge-Proof, Hydrating Matte Lipstick",618,"1,125",5 ratings,https://www.myglamm.com/product/lit-liquid-matte-pack-of-2-lit-velvet-matte-pack-of-1-exclusive-combo.html,2,Lip Makeup,Liquid Lipstick,[],Notify
37,makeup,"MyGlamm LIT Liquid Matte Lipstick Set of 2 - Exclusive Combo | Long Lasting, Smudge-Proof, Hydrating Matte Lipstick Set (1.6ml x 2)",675,750,5 ratings,https://www.myglamm.com/product/lit-liquid-matte-lipstick-16ml-set-of-2-jun.html,19,Lip Makeup,Liquid Lipstick,[],Notify
38,makeup,"POPxo Makeup Mini Lip Kit - No Drama (Set of 3) | Creamy, Matte Finish, Highly Pigmented, Nude Shade Mini Lipsticks",272,349,5 ratings,https://www.myglamm.com/product/popxo-makeup-no-drama-3-color-mini-lipstick-set.html,3665,Lip Makeup,Lipstick set,"['No Drama', 'Berry Amor', 'Pretty Mess']",ADD TO BAG
39,makeup,Manish Malhotra 24h Kajal Eyeliner - Fierce Mystery,479,599,5 ratings,https://www.myglamm.com/product/manish-malhotra-24h-kajal-eyeliner-fierce-mystery.html,178,Eye Makeup,Kajal,"['Fierce Mystery', 'Plum Perfection', 'Emerald Spark', 'Sultry Sienna', 'Smokey Diamond', 'Starry Night']",ADD TO BAG
40,makeup,MyGlamm LIT 2 in 1 Liquid Matte Lipstick - Miss Independent,490,545,4.9 ratings,https://www.myglamm.com/product/lit-2-in-1-liquid-matte-lipstick-miss-independent.html,545,Lip Makeup,Liquid Lipstick,"['Miss Independent', 'Boss Babe', 'Overachiever', 'Hot Mama', 'Alpha Female', 'Social Butterfly', 'Flower Child', 'Heartbreaker', 'Firecracker', 'Funny Gurl', 'Uncensored', 'Stargazer']",ADD TO BAG
41,makeup,"POPxo Makeup Mini Lip Kit - Feelin' Peachy (Set of 3) | Creamy, Matte Finish, Highly Pigmented, Peach Shade Mini Lipsticks",279,349,5 ratings,https://www.myglamm.com/product/popxo-makeup-mini-lip-kit-feelin-peachy.html,63,Lip Makeup,Peach Lipstick,"[""Feelin' Peachy"", 'Power Trip', ' Left On Red']",ADD TO BAG
42,makeup,MyGlamm LIT Liquid Matte Lipstick Set of 2,513,790,5 ratings,https://www.myglamm.com/product/myglamm-lit-liquid-matte-lipstick-set-of-2.html,5,Lip Makeup,Lipstick Combos,[],Notify
43,makeup,Lipstick and Glossy Eyeliner Combo,700,,5 ratings,https://www.myglamm.com/product/lipstick-and-glossy-eyeliner-combo-par.html,1,Combo,Makeup Combo,[],Notify
44,makeup,POSE HD Foundation + LIT Velvet Matte Liquid Lipstick 1.6ml,974,,5 ratings,https://www.myglamm.com/product/pose-hd-foundation-lit-velvet-matte-liquid-lipstick-16ml.html,6,Lip Makeup, ,[],Notify
45,makeup,MyGlamm LIT Liquid Matte Lipstick + Velvet Matte Liquid Lipstick + Chromantic Metallic Nail Enamel Exclusive Combo,999,,5 ratings,https://www.myglamm.com/product/myglamm-lit-liquid-matte-lipstick-velvet-matte-liquid-lipstick-chromantic-metallic-nail-enamel-exclusive-combo.html,3,Combo,Makeup Combo,[],Notify
46,makeup,"Treasure IT Powder Matte Blush - Love (Pink Shade) | Long Lasting, Matte Finish Powder Blush with Vitamin E | For All Skin Colour (4g)",499,,5 ratings,https://www.myglamm.com/product/treasure-it-powder-matte-blush-love.html,48,Face Makeup,Blush,"['Love', 'Loyalty', 'Admire', 'Lust', 'Attraction', 'Passion']",ADD TO BAG
47,makeup,"Treasure IT Suede Matte Lipstick - Bold Love (Bright Coral Orange Shade) | Long Lasting, Non Drying Bullet Lipstick With Vitamin E, Cocoa Butter (4.2g)",549,,5 ratings,https://www.myglamm.com/product/treasure-it-suede-matte-lipstick-bold-love.html,95,Lip Makeup,Matte Lipstick,"['Bold Love', 'Love Blush', 'Flirt Phase', 'Date Night', 'Love Triangle', 'Love Amore', 'Smitten Kitten', 'First Crush', 'Cuddle Buddy', 'French Kiss']",ADD TO BAG
48,makeup,"MyGlamm Pure Love Sindoor - Royal Maroon (Maroon Shade) | Quick Dry, Long Lasting, Smudgeproof, Water-Resistant & Sweatproof Liquid Sindoor",145,,5 ratings,https://www.myglamm.com/product/pure-love-sindoor-royal-maroon.html,246,Face Makeup,Sindoor,"['Royal Maroon', 'Royal Red']",ADD TO BAG
49,makeup,"MyGlamm LIT Liquid Matte Lipstick - Pack of 4 Exclusive Combo | Long Lasting, Smudge-Proof, Hydrating Matte Lipstick Set (1.6ml x 4)",825,"1,500",5 ratings,https://www.myglamm.com/product/lit-liquid-matte-lipstick-1-6-ml-pack-of-4.html,7,Lip Makeup,Liquid Lipstick,[],Notify
50,makeup,"MyGlamm Super Lash Volumising Mascara (Black Shade) | Waterproof, Long Lasting, High Volumising, Curling Eye Mascara with Bubble Wand",399,449,5 ratings,https://www.myglamm.com/product/super-lash-volumising-mascara.html,8,Eye Makeup,Mascara,[],Notify
51,makeup,"MyGlamm Tinted Perfection Face Primer | Matte Finish, Lightwieght & Silky Base Transparent Face Primer & Pore Minimiser",766,"1,095",4.9 ratings,https://www.myglamm.com/product/tinted-perfection-face-primer.html,526,Face Makeup,Primer,"['Transparent', 'Banana']",ADD TO BAG
52,makeup,K.Play Flavoured Lipgloss Set Of 2,654,"1,190",5 ratings,https://www.myglamm.com/product/kplay-flavoured-lipgloss-set-of-2.html,8,Lip Makeup,Lip Gloss,[],Notify
53,makeup,"MyGlamm LIT Moist Matte Lipstick - Pink Glamm (Flamingo Pink Shade)| Long Lasting, Pigmented, Hydrating Lipstick with Moringa Oil and Vitamin E",299,,5 ratings,https://www.myglamm.com/product/lit-moist-matte-lipstick-pink-glamm.html,49,Lip Makeup,Matte Lipstick,"['Pink Glamm', 'Nude Buff', 'Brown Toffee', 'Wine Charm', 'Pink Crush', 'Red Rebel', 'Brown Exquisite', 'Pink Passion', 'Red Avenue', 'Purple Madness', 'Red Lady', 'Red Velvet', 'Brown Delight', 'Pink Heart', 'Red Tart', 'Coral Darling', 'Red Sensation', 'Pink Rose']",ADD TO BAG
54,makeup,"Manish Malhotra Hi-Shine Lipstick - Vintage Wine (Blackberry Shade) | Long Lasting, Creamy, UVB Protected with Satin, Shine, Matte Finish (4g)",560,799,4.9 ratings,https://www.myglamm.com/product/manish-malhotra-hi-shine-lipstick-vintage-wine.html,1868,Lip Makeup,Hi-Shine Lipstick,"['Vintage Wine', 'Barely Nude', 'Ruby Runway', 'Desert Suede', 'Almond Crème', 'French Praline', 'Regal Crimson', 'Fuchsia Fantasy', 'Velvet Rose', 'Old Rose', 'Moroccan Red', 'Rose Romance', 'Caramel Kiss', 'Wild Rose', 'English Rose', 'Mauve Struck', 'Berry WIne', 'Radiant Red', 'Sunset Sienna', 'Cocoa Love', 'Red Carpet', 'Autumn Spell']",ADD TO BAG
55,makeup,LIT Liquid Matte Lipstick Set of 2,513,790,5 ratings,https://www.myglamm.com/product/lit-liquid-matte-lipstick-set-of-2-199co-jun.html,1951,Lip Makeup,Lipstick Combos,[],Notify
56,makeup,MyGlamm LIT liquid Matte Liquid Lipstick,375,,5 ratings,https://www.myglamm.com/product/myglamm-lit-liquid-matte-liquid-lipstick.html,7,Lip Makeup,Liquid Lipstick,[],Notify
57,makeup,"MyGlamm Glow to Glamour Shimmer And Fixing Powder (2 in 1) | Enhanced Luminosity, Flawless Finish Loose Powder For All Skin Tone",836,"1,195",5 ratings,https://www.myglamm.com/product/glow-to-glamour.html,536,Face Makeup,Loose Powders & Fixers,[],Notify
58,makeup,"MyGlamm Exclusive Combo of POSE HD Lipstick + LIT Liquid Matte Lipstick| Long Lasting, Smudge Proof HD & Matte Liquid Lipsticks",974,,5 ratings,https://www.myglamm.com/product/pose-hd-lipstick-lit-liquid-matte-lipstick-exclusive-combo-par.html,3,Lip Makeup,Liquid Lipstick,[],Notify
59,makeup,"MyGlamm Pose HD Lipstick Pack of 2 | Long Lasting, Demi-Matte Finish HD Lipstick Combo With Moringa Oil & Vitamin E","1,078","1,198",5 ratings,https://www.myglamm.com/product/pose-hd-lipstick-pack-of-2-mg99-mar-surv.html,27,Lip Makeup,Lipsticks,[],Notify
60,makeup,Manish Malhotra Foundation- Warm Ivory,639,799,5 ratings,https://www.myglamm.com/product/manish-malhotra-skin-awakening-foundation-warm-ivory.html,273,Face Makeup,Foundation,"['Warm Ivory', 'Cool Mocha', 'Neutral Amber', 'Nude Beige', 'Warm Amber', 'Cool Amber', 'Sun Beige', 'Warm Mocha', 'Neutral Mocha', 'Neutral Ivory', 'Cool Ivory', 'Warm Beige', 'Warm Vanilla', 'Neutral Vanilla', 'Neutral Beige']",ADD TO BAG
61,makeup,"MyGlamm Vitamin C Foundation - Peach (Light Cool) | Long Lasting, Medium To Full Coverage Foundation With SPF 15 With Hyaluronic Acid (30g)",269,299,,https://www.myglamm.com/product/vitamin-c-foundation-peach.html,,Face Makeup,Foundation,"['Peach', 'Coffee', 'Oat', 'Honey']",Notify
62,makeup,"Manish Malhotra Precision Liquid Felt Tip Eyeliner - Blue Sapphire (Blue Shade)| Long Lasting, Water-resistant & non-transferable Eyeliner Pen",639,799,5 ratings,https://www.myglamm.com/product/manish-malhotra-precision-liquid-felt-tip-eyeliner-blue-sapphire.html,409,Eye Makeup,Eyeliner,"['Blue Sapphire', 'Jade Envy', 'Black Diamond', 'Bronzite']",ADD TO BAG
63,makeup,"POPxo Makeup - Hot Mess - 4 Eyeshadow Kit | Long Lasting, Pigmented, Matte Shade Eyeshadow Palette With Vitamin E",209,299,5 ratings,https://www.myglamm.com/product/popxo-makeup-hot-mess-4-shade-eyeshadow-palette-kit.html,797,Eye Makeup,Eyeshadow,"['Hot Mess', 'Send Noods', 'Drama Queen']",ADD TO BAG
64,makeup,Tinted Perfection Face Primer,602,"1,095",5 ratings,https://www.myglamm.com/product/tinted-perfection-face-primer-feb-gwp.html,79,Face Makeup,Primer,[],Notify
65,makeup,Manish Malhotra Mascara,623,799,4.9 ratings,https://www.myglamm.com/product/manish-malhotra-mascara.html,251,Eye Makeup,Mascara,[],Notify
66,makeup,MyGlamm Exclusive Combo of LIT Liquid Matte Lipstick + MyGlamm 10% Niacinamide Clarifying Serum | Transfer Proof Lipstick & Face Serum Enriched With Moringa,590,"1,074",5 ratings,https://www.myglamm.com/product/lit-liquid-matte-lipstick-myglamm-10-niacinamide-clarifying-serum-exclusive-combo-aug.html,4,Lip Makeup,Liquid Lipstick,[],Notify
67,makeup,MyGlamm Chromantic Metallic Nail Enamel + POSE HD Lipstick,551,848,5 ratings,https://www.myglamm.com/product/myglamm-chromantic-metallic-nail-enamel-pose-hd-lipstick.html,8,Nail Makeup,Nail Polish,[],Notify
68,makeup,"MyGlamm Ultimatte Long Stay Matte Lipstick - Vamp (Perfect Plum Shade) | Hydrating, Long Lasting, Transfer-Proof Lipstick With Vitamin E (1.3g)",549,,5 ratings,https://www.myglamm.com/product/myglamm-ultimatte-long-stay-matte-lipstick-vamp-perfect-plum-shade-hydrating-long-lasting-transfer-proof-lipstick-with-vitamin-e-13g.html,1279,Lip Makeup,Matte Lipstick,"['Vamp', 'Showgirl', 'Bombshell', 'Promiscuous', 'Cougar', 'Fiery', 'Goddess', 'Diva', 'Trophy', 'Risque', 'Vixen', 'Foxy']",ADD TO BAG
69,makeup,Manish Malhotra Precision Liquid Felt Tip Eyeliner - Blue Sapphire,530,799,5 ratings,https://www.myglamm.com/product/manish-malhotra-precision-liquid-felt-tip-eyeliner-blue-sapphire-gwp.html,1,Eye Makeup,Eyeliner,"['', '']",ADD TO BAG
70,makeup,"MyGlamm LIT Matte Eyeliner Pencil - Mood (Off-white Shade) | Hydrating, Water-resistant, Matte Finish Eyeliner Pencil",311,445,4.9 ratings,https://www.myglamm.com/product/lit-matte-eyeliner-pencil-mood.html,831,Eye Makeup,Eyeliner,"['Mood', 'On Fleek', 'Prom Night', 'Girl Crush', 'Slay', 'Yass', 'Wicked', 'Savage']",ADD TO BAG
71,makeup,MyGlamm 10% Niacinamide Clarifying Serum + St.Botanica Goji Berry Face Wash with Vitamin C,948,,5 ratings,https://www.myglamm.com/product/myglamm-10-niacinamide-clarifying-serum-stbotanica-goji-berry-face-wash-with-vitamin-c.html,2,Face Serum, ,[],Notify
72,makeup,LIT Velvet Matte Liquid Lipstick - Pack of 5 Exclusive Combo,"1,875",,,https://www.myglamm.com/product/lit-velvet-matte-liquid-lipstick-pack-of-5-exclusive-combo-rakhi.html,,Lip Makeup,Liquid Lipstick,[],Notify
